id,date,primary_type,description,location_description,beat,arrest,domestic,district,latitude,longitude,time,area
13326437,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,1133,0,0,11,41.87713466,-87.7218818,40:00.0,Area West
13325543,2023/12/31,CRIMINAL DAMAGE,TO VEHICLE,STREET,0932,0,0,9,41.80076496,-87.66719889,40:00.0,Area Central
13324800,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1012,1,0,10,41.85223404,-87.72720266,39:00.0,Area West
13325268,2023/12/31,BATTERY,SIMPLE,APARTMENT,1821,0,0,18,41.90995935,-87.6385554,34:00.0,Area North
13368363,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0922,0,1,9,41.81516858,-87.70248988,30:00.0,Area Central
13324796,2023/12/31,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,2422,0,0,24,42.01972606,-87.66748348,30:00.0,Area North
13324860,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,1523,0,0,15,41.88312709,-87.76495915,30:00.0,Area West
13328840,2023/12/31,ASSAULT,SIMPLE,APARTMENT,2535,0,0,25,41.91048248,-87.72390756,30:00.0,Area Northwest
13324784,2023/12/31,CRIMINAL TRESPASS,TO LAND,MOVIE HOUSE / THEATER,1913,1,0,19,41.96846289,-87.65967044,28:00.0,Area North
13334961,2023/12/31,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,0823,1,0,8,41.77902066,-87.69996255,25:00.0,Area Central
13324857,2023/12/31,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,0122,0,0,1,41.88643994,-87.63246797,25:00.0,Area North
13324776,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,1131,1,0,11,41.87594605,-87.74332577,22:00.0,Area West
13325247,2023/12/31,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,0131,1,0,1,41.85380543,-87.6271056,19:00.0,Area North
13324772,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1422,1,0,14,41.91004171,-87.71283154,16:00.0,Area Northwest
13324827,2023/12/31,ASSAULT,AGGRAVATED - HANDGUN,STREET,0532,0,0,5,41.68228571,-87.61670958,15:00.0,Area South
13324886,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,2232,1,0,22,41.71178876,-87.64295701,08:00.0,Area South
13461171,2023/12/31,THEFT,FROM BUILDING,OTHER (SPECIFY),1232,0,0,12,41.87661278,-87.65114777,00:00.0,Area North
13326455,2023/12/31,THEFT,$500 AND UNDER,STREET,1024,0,0,10,41.84986793,-87.71169568,00:00.0,Area West
13326200,2023/12/31,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,1225,0,0,12,41.87102983,-87.67636841,00:00.0,Area North
13325011,2023/12/31,THEFT,OVER $500,STREET,0824,0,1,8,41.79151673,-87.68397597,00:00.0,Area Central
13325198,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,0232,0,0,2,41.7867998,-87.62063997,00:00.0,Area Central
13325192,2023/12/31,STALKING,SIMPLE,APARTMENT,0624,0,0,6,41.75035437,-87.59909547,00:00.0,Area South
13325407,2023/12/31,THEFT,$500 AND UNDER,STREET,1124,0,0,11,41.87736158,-87.70194469,00:00.0,Area West
13324805,2023/12/31,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,1132,0,0,11,41.86707203,-87.72612265,00:00.0,Area West
13324755,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0421,0,1,4,41.75299412,-87.56382807,00:00.0,Area South
13325446,2023/12/31,ASSAULT,AGGRAVATED - HANDGUN,STREET,2515,0,0,25,41.9266349,-87.77459422,00:00.0,Area Northwest
13325537,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0424,0,0,4,41.7454273,-87.54549019,00:00.0,Area South
13328296,2023/12/31,THEFT,OVER $500,STREET,1613,0,0,16,41.980004,-87.80582716,00:00.0,Area Northwest
13326981,2023/12/31,PUBLIC PEACE VIOLATION,ARSON THREAT,APARTMENT,1024,0,0,10,41.84888586,-87.71125741,58:00.0,Area West
13324780,2023/12/31,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",HOTEL / MOTEL,0123,1,0,1,41.87527257,-87.62425131,56:00.0,Area North
13324786,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,STREET,2533,0,0,25,41.90970776,-87.73945874,56:00.0,Area Northwest
13324828,2023/12/31,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,0131,0,0,1,41.85362274,-87.62551459,55:00.0,Area North
13324736,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1022,0,0,10,41.86410998,-87.70803708,50:00.0,Area West
13324793,2023/12/31,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,1031,0,0,10,41.84425276,-87.72494385,50:00.0,Area West
13324762,2023/12/31,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,2232,0,1,22,41.71068281,-87.63433284,48:00.0,Area South
13324773,2023/12/31,ROBBERY,ARMED - HANDGUN,STREET,1712,0,0,17,41.9756593,-87.71650511,45:00.0,Area Northwest
13324748,2023/12/31,ASSAULT,SIMPLE,APARTMENT,1623,0,1,16,41.96898468,-87.7675134,43:00.0,Area Northwest
13324787,2023/12/31,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,1824,1,0,18,41.9031655,-87.62923615,40:00.0,Area North
13324932,2023/12/31,BURGLARY,UNLAWFUL ENTRY,APARTMENT,2431,0,0,24,42.00910785,-87.66684361,30:00.0,Area North
13325139,2023/12/31,ROBBERY,ARMED - HANDGUN,STREET,1122,0,0,11,41.87980954,-87.7217388,30:00.0,Area West
13325486,2023/12/31,BATTERY,SIMPLE,STREET,0933,0,0,9,41.80684014,-87.66049339,30:00.0,Area Central
13325594,2023/12/31,THEFT,OVER $500,STREET,2012,0,0,20,41.97890091,-87.67035467,30:00.0,Area North
13325116,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1134,0,0,11,41.87092449,-87.7091419,30:00.0,Area West
13324847,2023/12/31,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,0533,0,1,5,41.65534469,-87.59676878,20:00.0,Area South
13328317,2023/12/31,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,1922,1,0,19,41.95191252,-87.67719278,20:00.0,Area North
13324751,2023/12/31,ROBBERY,ARMED - HANDGUN,SIDEWALK,1013,0,0,10,41.85142376,-87.73281142,13:00.0,Area West
13345125,2023/12/31,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,SMALL RETAIL STORE,1233,0,0,12,41.85789511,-87.66013101,00:00.0,Area North
13325379,2023/12/31,THEFT,$500 AND UNDER,OTHER (SPECIFY),1135,0,0,11,41.87380752,-87.69445629,00:00.0,Area West
13325080,2023/12/31,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,2524,0,0,25,41.92490148,-87.73660228,00:00.0,Area Northwest
